Manufacturer,Design,Material,Cost
`Crist Instruments <http://www.cristinstrument.com/products/primate-chair>`_,Closed,Polycarbonate,
`Rogue Research <https://www.rogue-research.com/veterinary/mri-equipment/>`_,Closed,Polycarbonate,"$11,000 "
`Plas-Labs <https://www.plas-labs.com/products/animal-care-research/primate-chairs>`_,Shelf,Polycarbonate,
`GreyMatter Research <https://www.graymatter-research.com/primate-chair/>`_,Closed,Polycarbonate,"$7,000 "
`Primate Products <http://www.primateproducts.com/shop/macaque-restrainer/>`_,Open,,
`UniFab <https://unifabcorporation.com/portfolio-posts/primate-restraint-chair/>`_,Open,Stainless steel,
Applied Prototypes,Closed,Polycarbonate,
