Supplier,Part #,Description,Quantity,Cost
Misumi,`CSHLWH-PEEK-M4-16 <>`__,"M4, 15mm PEEK socket cap hex screw",1,$2.30 
McMaster,27175A512,M4 x 0.7 mm through-hole tap,1,$15.71 
McMaster,27175A112,4-40 through hole tap,1,$13.49 
Grainger,53MM63,0-80 thread tap,1,$20.30 
McMaster,87065K42,"1/8” alumina ceramic rod, 12”",1,$20.94 
McMaster,92482A264,"0-80 thread, 5/32” brass round-head slotted screws",4,$8.57 per 25
McMaster,92942A718,"4-40 thread, 5/16” Nylon Pan Head Slotted Screws",2,$6.04 for 100
McMaster,92991A105,"4-40 thread, 3/16” Brass Cup-Point Set Screws",4,$6.63 for 50
